Nome,Satisfação do Empregado,Satisfação Salário,Índice,Quantidade total de reclamações,Quantidade total de clientes,Segmento,CNPJ
ALFA,47.0,3.8, ,480,423848.4285714286,S3,60770336
BANCO DO NORDESTE DO BRASIL S.A.,83.0,4.2, ,490,8966108.714285715,S2,7237373
BANCO FIBRA S.A.,84.0,4.2, ,17,163767.16666666666,S3,58616418
BANRISUL,59.0,4.1,"14,72",3689,5107234.571428572,S2,92702067
BMG,63.0,4.2,"101,86",12161,9491476.57142857,S3,61186680
BNP PARIBAS,63.0,3.4,"125,22",4624,2211990.5714285714,S3,1522368
BOFA MERRILL LYNCH,61.0,3.8, ,7,4732.0,S3,62073200
BRADESCO,66.0,4.3,"21,64",60835,100752267.57142857,S1,60746948
BTG PACTUAL,73.0,4.4, ,133,766998.0,S1,30306294
CITIBANK,68.0,3.8, ,97,18253.85714285714,S2,33479023
CREDIT SUISSE,34.0,3.6, ,4,5997.0,S2,33987793
ITAU,82.0,4.6,"12,26",43280,90339230.71428572,S1,60872504
JP MORGAN CHASE,76.5,3.9, ,9,2908.0,S3,33172537
MERCEDES-BENZ,53.5,4.0, ,35,19882.714285714286,S3,60814191
ORIGINAL,53.0,4.0,"14,35",10168,25494336.285714287,S3,92894922
PAN,79.0,4.6,"245,28",3953,8907890.0,S3,59285411
PINE,50.0,3.9, ,29,33519.42857142857,S3,62144175
SAFRA,47.0,3.8,"103,36",9914,4705216.714285715,S2,58160789
SANTANDER,65.0,4.0,"21,05",45423,56422443.428571425,S1,90400888
SICREDI,80.0,4.1, ,18,6438476.0,S3,1181521
SOCIETE GENERALE,55.0,3.3, ,6,528.0,S3,61533584
VOTORANTIM,79.0,3.9499999999999997,"13,05",4529,17275235.57142857,S2,59588111
